"PLU","CATEGORY","COMMODITY","VARIETY","VARIETY-NEW","ADDITIONAL VARIETY INFO","VARIETY_INFO-NEW","SIZE","NA MEASUREMENTS","ROW MEASUREMENTS","RESTRICTIONS","NOTES","BOTANICAL NAME","BOTANICAL-OLD","AKA","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE"
"3104","Fruits","APPLES","RoHo 3615","RoHo 3615","","","All Sizes","","","","Approved by IFPS via electronic vote","Malus domestica
","Malus domestica","Evelina","2016-06-20 18:55:46","2012-12-11 00:00:00","10005900","http://check.ifpsglobal.com/file/view/3104-roho-3615-apple_1460402964.JPG",""
"3105","Nuts","CASHEWS","","","","","All Sizes","","","","","Anacardium occidental
","Anacardium occidental","","1999-12-31 00:00:00","1999-12-31 00:00:00","10000007","",""
"3106","Nuts","MACADAMIA","","","","","All Sizes","","","","","Macadamia integrifolia
","Macadamia integrifolia","","1999-12-31 00:00:00","1999-12-31 00:00:00","10000007","",""
"3107","Fruits","ORANGES","Navel","Navel","","","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3108","Fruits","ORANGES","Valencia","Valencia","","","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3109","Fruits","ORANGES","Seville (Marmalade type)","Seville (Marmalade type)","","","All Sizes","","","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3110","Fruits","ORANGES","Navel","Navel, Cara Cara (Red)","Cara Cara (Red)","","All Sizes","","","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3111","Fruits","PAPAYA/PAWPAW","Red-Fleshed (Solo Sunrise)","Red-Fleshed (Solo Sunrise)","","","All Sizes","","","","","Carica papaya
","Carica papaya","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005954","",""
"3112","Fruits","PAPAYA/PAWPAW","Meridol","Meridol","","","All Sizes","","","","","Carica papaya
","Carica papaya","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005954","",""
"3113","Fruits","PEACHES","Flat White Flesh (Saturn type)","Flat White Flesh (Saturn type)","","","All Sizes","","","","10/08 - changed verbiage to be consistent with other flat peaches","","","","2008-11-26 00:00:00","2008-11-26 00:00:00","10005912","",""
"3114","Fruits","MANGO","Green","Green","","","Extra Large","7 size and larger","","","","Magnifera Indica
","Magnifera Indica","Keitt and Francis varieties","2016-04-12 15:50:07","2008-11-26 00:00:00","10005969","http://check.ifpsglobal.com/file/view/3114-green-mango_1460476199.JPG",""
"3115","Fruits","PEACHES","Flat Yellow Flesh","Flat Yellow Flesh","","","All Sizes","","","","","","","","2016-04-11 19:50:27","2008-11-26 00:00:00","10005912","",""
"3116","Fruits","PEACHES","Yellow Flesh","Yellow Flesh (Tree Ripened/Ready-to-eat)","Tree Ripened/Ready-to-eat","","Small","70 size and smaller","Average Fruit Weight =  less than 185g","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005912","",""
"3117","Fruits","PEACHES","Yellow Flesh","Yellow Flesh (Tree Ripened/Ready-to-eat)","Tree Ripened/Ready-to-eat","","Large","66 size and larger","Average Fruit Weight =  185g and above","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005912","",""
"3118","Fruits","PEARS","Starkrimson","Starkrimson","","","All Sizes","","","","","Pyrus spp.
","Pyrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903","",""
"3119","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse","Bell, Greenhouse - Green","Green","","Small","med. size and smaller","Min diameter less than 65mm","","","Capsicum spp.
","Capsicum spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006190","",""
"3120","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse","Bell, Greenhouse - Green","Green","","Large","large size and larger","Min diameter 65mm and above","","","Capsicum spp.
","Capsicum spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006190","",""
"3121","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse","Bell, Greenhouse - Orange","Orange","","All Sizes","","","","","Capsicum spp.
","Capsicum spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006190","",""
"3122","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse","Bell, Greenhouse - White","White","","All Sizes","","","","","Capsicum spp.
","Capsicum spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006190","",""
"3123","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse","Bell, Greenhouse - Brown","Brown","","All Sizes","","","","","Capsicum spp.
","Capsicum spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006190","",""
"3124","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse","Bell, Greenhouse - Purple","Purple","","All Sizes","","","","","Capsicum spp.
","Capsicum spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006190","",""
"3125","Vegetables","PEPPERS (CAPSICUMS)","Habanero","Habanero","","","All Sizes","","","","","Capsicum spp.
","Capsicum spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006103","",""
"3126","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Retailer Assigned","","","","All Sizes","","","","","Prunus armeniaca hybrid
","Prunus armeniaca hybrid","","2008-06-03 00:00:00","2008-06-03 00:00:00"," ","",""
"3127","Fruits","POMEGRANATE","","","","","Medium","30 to 36 size","Average Fruit Dimensions = 3.375 - 3.875 inch","","","Punica granatum
","Punica granatum","","2007-10-30 00:00:00","2007-10-30 00:00:00","10005970","",""
"3128","Vegetables","POTATO","Purple","Purple","","","","","","","","Solanum tuberosum
","Solanum tuberosum","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006104","",""
"3129","Fruits","GRAPEFRUIT","Pummelo","Pummelo - Red","Red","","All Sizes","","","","","C.grandis
","C.grandis","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005877","",""
"3130","Vegetables","PUMPKIN","Jumbo","Jumbo","","","All Sizes","","","","","Cucurbita pepo
","Cucurbita pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006038","",""
"3131","Vegetables","PUMPKIN","Decorative (Painted)","Decorative (Painted)","","","All Sizes","","","","","Cucurbita pepo
","Cucurbita pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006038","",""
"3132","Vegetables","PUMPKIN","White","White","","","All Sizes","","","","","Cucurbita pepo
","Cucurbita pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006038","",""
"3133","Vegetables","PUMPKIN","White","White - Mini","Mini","","All Sizes","","","","","Cucurbita pepo
","Cucurbita pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006038","",""
"3134","Vegetables","PUMPKIN","Pie Pumpkin","Pie Pumpkin","","","All Sizes","","","","","Cucurbita pepo
","Cucurbita pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006038","",""
"3135","Vegetables","GOURD","Ornamental","Ornamental","","","All Sizes","","","","","Trichosarthes cucumerina
","Trichosarthes cucumerina","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006340","",""
"3136","Fruits","SAPODILLO/NISPERO","","","","","All Sizes","","","","","Manilkara zapote
","Manilkara zapote","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006368","",""
"3137","Fruits","SAPOTE","White","White","","","All Sizes","","","","","Casimiroa edulis
","Casimiroa edulis","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006370","",""
"3138","Fruits","SAPOTE","Black","Black","","","All Sizes","","","","","Diospyros digyna
","Diospyros digyna","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006369","",""
"3139","Herbs","SAVORY","","","","","All Sizes","","","","","Satureja spp.
","Satureja spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3140","Vegetables","SQUASH","Cucuzza","Cucuzza","","","All Sizes","","","","","C.pepo
","C.pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006015","",""
"3141","Vegetables","SQUASH","Opo","Opo","","","All Sizes","","","","","Langenaria siceraria
","Langenaria siceraria","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006357","",""
"3142","Vegetables","SQUASH","Carnival","Carnival","","","All Sizes","","","","","C.pepo
","C.pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006015","",""
"3143","Vegetables","SQUASH","Acorn","Acorn - baby","Baby","","All Sizes","","","","","C.pepo
","C.pepo","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006015","",""
"3144","Fruits","TANGERINES/MANDARINS","Fall Glo","Fall Glo","","","All Sizes","","","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888","",""
"3145","Vegetables","TOMATOES","Plum/Italian/Saladette/Roma","Plum/Italian/Saladette/Roma (Yellow)","Yellow","","All Sizes","","","","","Lycopersicon esculenta
","Lycopersicon esculenta","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006163","",""
"3146","Vegetables","TOMATOES","Cherry","Cherry - Red, On the Vine","Red, On the Vine","","All Sizes","","Up to and including 35mm diam","","","Lycopersicon esculenta
","Lycopersicon esculenta","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006161","",""
"3147","Vegetables","TOMATOES","Cherry","Cherry - Yellow, On the Vine","Yellow, On the Vine","","All Sizes","","Up to and including 35mm diam","","","Lycopersicon esculenta
","Lycopersicon esculenta","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006161","",""
"3148","Vegetables","TOMATOES","Regular","Regular - Yelllow, On the Vine (Truss)","Yelllow, On the Vine (Truss)","","All Sizes","","","","","Lycopersicon esculenta
","Lycopersicon esculenta","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006163","",""
"3149","Vegetables","TOMATOES","Regular","Regular - Orange, On the Vine","Orange, On the Vine","","All Sizes","","","","","Lycopersicon esculenta
","Lycopersicon esculenta","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006163","",""
"3150","Vegetables","TOMATOES","Cocktail/Intermediate","Cocktail/Intermediate - Red","Red","","All Sizes","","35 - 40mm diameter","","","Lycopersicon esculenta
","Lycopersicon esculenta","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006163","",""
"3151","Vegetables","TOMATOES","Vine Ripe, Regular","Vine Ripe, Regular - Red","Red","","Large","5X6 and larger","Diameter 70mm and above","","","Lycopersicon esculenta
","Lycopersicon esculenta","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006163","",""
"3152","Fruits","GRAPEFRUIT","Melogold","Melogold","","","All Sizes","","","","","C.grandis
","C.grandis","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005876","",""
"3153","Fruits","ORANGES","Delta Seedless","Delta Seedless","","","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3154","Fruits","ORANGES","Delta Seedless","Delta Seedless","","","Large","56 size and larger","Average Fruit Dimensions = 84mm and above","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3155","Fruits","ORANGES","Midknight","Midknight","","","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3156","Fruits","ORANGES","Midknight","Midknight","","","Large","56 size and larger","Average Fruit Dimensions = 84mm and above","","","Citrus spp.
","Citrus spp.","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889","",""
"3157","Fruits","GRAPEFRUIT","White","White","","","Extra Large","27 size and larger","","Restricted for items grown east of the Mississippi River in the U.S or east of the Ontario/Manitoba border in Canada.","","Citrus paradisi
","Citrus paradisi","","2002-05-02 00:00:00","2002-05-02 00:00:00","10005876","",""
"3158","Fruits","GRAPEFRUIT","White","White","","","Extra Large","27 size and larger","","Restricted for items grown in Texas, Arizona and New Mexico in the U.S.","","Citrus paradisi
","Citrus paradisi","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005876","",""
"3159","Fruits","GRAPEFRUIT","White","White","","","Extra Large","27 size and larger","Average Fruit Dimensions = 108mm and above","","","Citrus paradisi
","Citrus paradisi","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005876","",""
"3160","Vegetables","GAI LAN","Synonymous with Chinese Broccoli","Synonymous with Chinese Broccoli","","","All Sizes","","","","","Brassica oleracea
","Brassica oleracea","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005988","",""
"3161","Vegetables","GAI (GUI) CHOY (CHINESE or INDIAN MUSTARD)","Baby","Baby - Chinese or Indian Mustard","Chinese or Indian Mustard","","All Sizes","","","","","Brassica juncea
","Brassica juncea","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006339","",""
"3162","Vegetables","ONG CHOY","Synonymous with Water Spinach","Synonymous with Water Spinach","","","All Sizes","","","","","Ipomoea aquatica
","Ipomoea aquatica","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006352","",""
"3163","Vegetables","BOK CHOY (PAK CHOI)","Shanghai","Shanghai","","","All Sizes","","","","","Brassica rapa
","Brassica rapa","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006145","",""
"3164","Vegetables","YU CHOY","","","","","All Sizes","","","","","Brassica rapa
","Brassica rapa","","1999-12-31 00:00:00","1999-12-31 00:00:00","10000006","",""
"3165","Vegetables","RADICCHIO","Treviso","Treviso","","","All Sizes","","","","","Cichorium intybus
","Cichorium intybus","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006094","",""
"3166","Vegetables","CABBAGE","Tuscan","Tuscan","","","All Sizes","","","","Identified lacinato kale and tuscan cabbage one and the same","Brassica oleracea
","Brassica oleracea","Lacinato Kale","2013-05-06 00:00:00","2013-05-06 00:00:00","10006144","",""
"3167","Vegetables","FRISEE","","","","","All Sizes","","","","","Cichorium endivia
","Cichorium endivia","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006097","",""
"3168","Vegetables","RADICCHIO","Castlefranco","Castlefranco","","","All Sizes","","","","","Cichorium intybus
","Cichorium intybus","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006094","",""
"3169","Vegetables","LETTUCE","Catalogna","Catalogna","","","All Sizes","","","","","Lactuca sativa
","Lactuca sativa","","1999-12-31 00:00:00","1999-12-31 00:00:00","10006097","",""
"3170","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3171","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3172","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3173","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3174","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3175","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3176","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3177","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3178","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3179","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3180","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3181","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3182","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3183","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3184","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3185","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3186","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3187","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3188","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3189","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3190","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3191","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3192","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3193","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3194","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3195","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3196","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3197","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3198","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3199","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3200","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3201","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3202","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3203","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3204","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3205","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3206","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3207","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
"3208","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","","","","All Sizes","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","",""
